time;nederbordsmangd-dygn;signifikantamoln;sikt;totalmolnmangd;
2021-05-22 00:00:00;1.4;1028.63636363636;32706.8333333333;81.9583333333333;
2021-05-23 00:00:00;4.4;128.333333333333;12912.125;100.083333333333;
2021-05-24 00:00:00;0;939.047619047619;35222.2916666667;77.7916666666667;
2021-05-25 00:00:00;10.6;1155;28117.7083333333;93.4166666666667;
2021-05-26 00:00:00;3.7;485.833333333333;26601.7826086957;96.5;
2021-05-27 00:00:00;0.1;830.833333333333;36817.6363636364;99.5416666666667;
2021-05-28 00:00:00;0;1343.88888888889;45822.875;64.1666666666667;
2021-05-29 00:00:00;0;2047.14285714286;43653.75;18.7916666666667;
2021-05-30 00:00:00;0;2120;42004.7083333333;0.541666666666667;
2021-05-31 00:00:00;0;4833.33333333333;40261.4166666667;35.5833333333333;
2021-06-01 00:00:00;0;1885.2380952381;43834.125;71.6666666666667;
